Index,Load_AESO_2030.dat,Load_AVA_2030.dat,Load_AZPS_2030.dat,Load_BANC_2030.dat,Load_BCHA_2030.dat,Load_BPAT_2030.dat,Load_CFE_2030.dat,Load_CHPD_2030.dat,Load_CIPB_2030.dat,Load_CIPV_2030.dat,Load_CISC_2030.dat,Load_CISD_2030.dat,Load_DOPD_2030.dat,Load_EPE_2030.dat,Load_GCPD_2030.dat,Load_IID_2030.dat,Load_IPFE_2030.dat,Load_IPMV_2030.dat,Load_IPTV_2030.dat,Load_LDWP_2030.dat,Load_NEVP_2030.dat,Load_NWMT_2030.dat,Load_PACW_2030.dat,Load_PAID_2030.dat,Load_PAUT_2030.dat,Load_PAWY_2030.dat,Load_PGE_2030.dat,Load_PNM_2030.dat,Load_PSCO_2030.dat,Load_PSEI_2030.dat,Load_SCL_2030.dat,Load_SPPC_2030.dat,Load_SRP_2030.dat,Load_TEPC_2030.dat,Load_TH_Malin_2030.dat,Load_TH_Mead_2030.dat,Load_TH_PV_2030.dat,Load_TIDC_2030.dat,Load_TPWR_2030.dat,Load_VEA_2030.dat,Load_WACM_2030.dat,Load_WALC_2030.dat,Load_WAUW_2030.dat
4453,7278,919.9616,3453.63935,1615.88229,7842,5075.88724,2331,137.81198,4077.929363,6086.309574,10113.26482,1947.211271,179.09632,1002.9116,701.14907,411.01061,305.9032978,656.7700968,1351.223785,2424.3513,2750.856164,1139.17611,1874.03132,617.5652934,3522.545342,986.4270748,1815.27045,1477.01815,4886.01712,2022.37144,761.10221,1312.431376,3403.45991,1392.21678,0,0,0,315.50339,386.24257,60.9257939,2189.70964,1131.8022,87.54336
4454,7248,1065.5478,3535.21434,1665.0977,7865,5524.69375,2412,152.51027,4213.17542,6288.164314,10448.67504,2011.791263,194.87236,1082.09518,719.0034,415.3764,329.5283193,707.4926872,1455.579283,2523.36691,2759.857259,1250.47812,2071.50608,663.0560025,3782.020877,1059.08865,2012.9565,1600.68407,5284.6633,2278.66204,877.4341,1316.725791,3514.71488,1429.03215,0,0,0,322.7441,428.99118,62.94642072,2294.35724,1130.79748,94.50812
4455,7272,1175.27066,3775.84545,1806.88685,7872,5913.67753,2459,163.96872,4458.843548,6654.823995,11057.932,2129.097794,207.54841,1186.12481,743.99042,469.31162,344.7257681,740.1213969,1522.708845,2744.42731,2910.128902,1302.79007,2281.53132,711.320061,4057.315387,1136.180052,2244.73032,1723.29258,5521.90189,2413.79159,959.79141,1388.420278,3793.94433,1551.79052,0,0,0,348.28982,468.91143,66.61679467,2386.80904,1170.58887,98.9058
4456,7231,1265.6729,4037.87113,1856.99947,8032,6111.80068,2449,173.92629,4650.653538,6941.100405,11533.62077,2220.687064,222.45846,1231.70438,767.76986,525.51329,352.6566001,757.148782,1557.740598,2948.51979,3046.285685,1347.15629,2413.58736,772.5201688,4406.396135,1233.933996,2434.42525,1848.43487,5771.20699,2524.84568,1050.45815,1453.380575,4158.30681,1712.98848,0,0,0,358.55206,497.55866,69.48250785,2450.97577,1244.02186,105.90212
4457,7211,1365.8551,4372.82143,1922.88884,8116,6312.96584,2373,189.63897,4815.853092,7187.660739,11943.31567,2299.569851,234.11792,1326.31243,786.22233,569.72471,368.6786389,791.5478751,1628.512506,3160.00646,3332.606529,1400.35453,2556.96486,816.2920749,4656.06775,1303.850155,2545.10852,1972.64944,6097.28906,2683.56901,1112.71578,1589.984031,4649.00786,1938.51067,0,0,0,366.43003,527.1554,71.95065113,2530.58154,1320.89962,112.77218
4458,7091,1458.20292,4862.37192,1995.85506,8055,6569.80372,2311,197.899,4957.931535,7399.712815,12295.67021,2367.412308,244.30896,1366.68348,814.73057,624.63127,395.1805034,848.4470071,1745.575479,3333.58549,3643.685764,1447.17351,2714.28851,857.5796004,4891.568647,1369.798053,2636.90178,2048.68248,6480.33786,2803.87285,1139.08874,1738.399696,5235.0734,2142.94615,0,0,0,373.27518,546.67107,74.07335635,2635.79215,1390.36893,117.93788
4459,6920,1537.43102,5295.68495,2104.74994,7866,6706.07949,2240,188.97651,5098.291434,7609.199965,12643.76276,2434.43416,252.91864,1425.34469,839.7176,682.4205,415.7597905,892.6304482,1836.477481,3556.80741,3942.364288,1492.61153,2840.10576,889.3486649,5072.776968,1420.542267,2735.91216,2102.69966,6820.44436,2850.71754,1152.96363,1880.898992,5704.51541,2328.03116,0,0,0,387.28412,554.30764,76.17038588,2716.33361,1447.9472,121.96734
4460,6760,1610.35418,5638.20935,2200.77139,7553,6828.85763,2263,191.11915,5232.534571,7809.557847,12976.68574,2498.535258,262.15584,1495.02624,859.46796,736.5855,427.1649737,917.1172169,1886.855999,3816.89225,4190.091597,1541.2031,2917.54378,914.7454023,5217.638022,1461.108066,2828.00876,2155.79909,7152.1912,2896.02741,1170.31936,1999.089503,6060.19567,2487.7356,0,0,0,405.38038,562.32805,78.17602869,2799.09537,1501.30785,126.03888
4461,6671,1668.53455,5965.71631,2298.24451,7352,6946.83101,2254,202.15322,5413.678101,8079.914565,13425.92169,2585.031293,266.9125,1554.43153,872.0179,787.7216,437.5255803,939.3612941,1932.620456,4062.42286,4377.149388,1589.38244,2965.28768,937.1060899,5345.181679,1496.824431,2917.12437,2174.5829,7366.12171,2953.673,1185.07658,2088.334632,6399.96392,2624.54243,0,0,0,424.3007,569.70199,80.88238095,2851.97029,1546.47615,129.72115
4462,6613,1719.30713,6299.49982,2414.61949,7029,7075.79388,2164,213.3115,5620.213238,8388.168258,13938.12883,2683.651821,269.23435,1584.66709,881.24978,835.55725,446.1518496,957.8817736,1970.724067,4301.82916,4564.558611,1632.5532,3016.11451,959.5568452,5473.239075,1532.68466,2993.69895,2189.39648,7606.46217,3011.18796,1189.90516,2177.747429,6753.22349,2733.16833,0,0,0,446.34144,575.02536,83.96809335,2909.30959,1588.39843,132.01468
